wavelength, flux
   240, 4.762e-13
   260, 4.701e-12
   280, 3.707e-11
   300, 1.228e-10
   320, 6.935e-10
   340, 1.824e-09
   360, 7.262e-09
   380, 1.462e-08
   400, 3.112e-08
   420, 5.117e-08
   440, 7.745e-08
   460, 1.089e-07
   480, 1.489e-07
   500, 1.239e-06
   520, 4.376e-06
   540, 4.179e-06
   560, 4.798e-06
   580, 5.024e-06
   600, 5.408e-06
   620, 5.875e-06
   640, 6.267e-06
   660, 6.442e-06
   680, 6.623e-06
   700, 6.746e-06
   720, 7.195e-06
   740, 7.674e-06
   760, 8.036e-06
   780, 8.337e-06
   800, 8.492e-06
   820, 8.415e-06
   840, 8.110e-06
   860, 8.185e-06
   880, 8.811e-06
   900, 1.545e-05
   920, 2.838e-05
   940, 6.623e-05
   960, 6.502e-05
   980, 5.559e-05
  1000, 5.768e-05
  1020, 6.442e-05
  1040, 6.684e-05
  1060, 5.985e-05
  1080, 6.267e-05
  1100, 6.209e-05
  1120, 5.930e-05
  1140, 5.611e-05
  1160, 5.508e-05
  1180, 5.024e-05
  1200, 4.798e-05
  1220, 3.319e-05
  1240, 5.663e-05
  1260, 7.397e-05
  1280, 8.261e-05
  1300, 7.534e-05
  1320, 7.889e-05
  1340, 7.129e-05
  1360, 7.195e-05
  1380, 6.808e-05
  1400, 3.991e-05
  1420, 7.129e-05
  1440, 5.611e-05
  1460, 5.768e-05
  1480, 5.821e-05
  1500, 5.768e-05
  1520, 5.930e-05
  1540, 4.140e-05
  1560, 3.508e-05
  1580, 4.140e-05
  1600, 4.376e-05
  1620, 3.112e-05
  1640, 3.199e-05
  1660, 3.741e-05
  1680, 3.707e-05
  1700, 4.179e-05
  1720, 3.639e-05
  1740, 3.350e-05
  1760, 3.381e-05
  1780, 3.444e-05
  1800, 3.476e-05
  1820, 3.508e-05
  1840, 3.319e-05
  1860, 3.229e-05
  1880, 2.999e-05
  1900, 2.999e-05
  1920, 2.864e-05
  1940, 2.761e-05
  1960, 2.838e-05
  1980, 2.588e-05
  2000, 2.637e-05
  2020, 2.637e-05
  2040, 2.472e-05
  2060, 2.382e-05
  2080, 2.254e-05
  2100, 2.296e-05
  2120, 2.318e-05
  2140, 2.234e-05
  2160, 2.193e-05
  2180, 2.153e-05
  2200, 2.094e-05
  2220, 2.094e-05
