wavelength, flux
          229.,          0.
          234.,          0.
          243.,          0.
          252.,          0.
          256.,          0.
          260.,          0.
          266.,          0.
          275.,          0.
          283.,          0.
          293.,          0.
          301.,          0.
          309.,          0.
          325.,          0.
          342.,          0.
          351.,          0.
          356.,          0.
          365.,          0.
          375.,          0.
          384.,          0.
          400.,          0.
          415.,          0.
          425.,          0.
          445.,          0.
          472.,          0.
          494.,          0.
          506.,          0.
          516.,          0.
          540.,          0.
          564.,          0.
          587.,          0.
          612.,          0.
          640.,          0.
          671.,          0.
          705.,          0.
          736.,          0.
          770.,          0.
          810.,          0.
          850.,          0.
          890.,          0.
          920.,   2.535E-20
          940.,   7.668E-20
          962.,   1.537E-19
          987.,   3.264E-19
         1012.,   6.377E-19
         1037.,   1.159E-18
         1062.,   2.154E-18
         1087.,   3.832E-18
         1112.,   1.459E-16
         1120.,   1.776E-16
         1140.,   2.523E-16
         1160.,   3.954E-16
         1180.,   5.596E-16
         1200.,   7.679E-16
         1220.,   1.133E-15
         1240.,   1.853E-15
         1260.,   2.780E-15
         1280.,   3.770E-15
         1300.,   5.142E-15
         1320.,   6.742E-15
         1340.,   8.595E-15
         1360.,   1.103E-14
         1380.,   1.431E-14
         1400.,   1.865E-14
         1420.,   2.397E-14
         1440.,   3.075E-14
         1460.,   3.964E-14
         1480.,   4.995E-14
         1500.,   6.413E-14
         1520.,   3.701E-13
         1540.,   6.426E-13
         1560.,   6.601E-13
         1580.,   8.507E-13
         1600.,   1.091E-12
         1620.,   1.314E-12
         1640.,   1.500E-12
         1660.,   1.617E-12
         1680.,   2.793E-11
         1700.,   4.215E-11
         1720.,   5.312E-11
         1740.,   7.195E-11
         1760.,   6.820E-11
         1780.,   9.463E-11
         1800.,   8.345E-11
         1820.,   5.981E-11
         1840.,   6.492E-11
         1860.,   9.024E-11
         1880.,   1.027E-10
         1900.,   1.179E-10
         1920.,   1.394E-10
         1940.,   1.139E-10
         1960.,   1.145E-10
         1980.,   1.748E-10
         2000.,   1.782E-10
         2002.,   1.752E-10
         2005.,   1.721E-10
         2008.,   1.691E-10
         2010.,   1.660E-10
         2012.,   1.630E-10
         2015.,   1.600E-10
         2018.,   1.569E-10
         2020.,   1.539E-10
         2022.,   1.561E-10
         2025.,   1.583E-10
         2027.,   1.605E-10
         2030.,   1.628E-10
         2032.,   1.650E-10
         2035.,   1.672E-10
         2038.,   1.694E-10
         2040.,   1.716E-10
         2042.,   1.707E-10
         2045.,   1.698E-10
         2048.,   1.688E-10
         2050.,   1.679E-10
         2052.,   1.670E-10
         2055.,   1.661E-10
         2058.,   1.651E-10
         2060.,   1.642E-10
         2062.,   1.681E-10
         2065.,   1.720E-10
         2067.,   1.759E-10
         2070.,   1.798E-10
         2072.,   1.837E-10
         2075.,   1.876E-10
         2077.,   1.915E-10
         2080.,   1.954E-10
         2082.,   1.958E-10
         2085.,   1.963E-10
         2088.,   1.967E-10
         2090.,   1.972E-10
         2092.,   1.976E-10
         2095.,   1.981E-10
         2098.,   1.985E-10
         2100.,   1.990E-10
         2102.,   2.003E-10
         2105.,   2.016E-10
         2107.,   2.030E-10
         2110.,   2.043E-10
         2112.,   2.056E-10
         2115.,   2.070E-10
         2118.,   2.083E-10
         2120.,   2.096E-10
         2122.,   2.108E-10
         2125.,   2.120E-10
         2128.,   2.133E-10
         2130.,   2.145E-10
         2133.,   2.157E-10
         2135.,   2.169E-10
         2138.,   2.181E-10
         2140.,   2.193E-10
         2142.,   2.196E-10
         2145.,   2.199E-10
         2147.,   2.202E-10
         2150.,   2.205E-10
         2153.,   2.208E-10
         2155.,   2.210E-10
         2157.,   2.213E-10
         2160.,   2.216E-10
         2162.,   2.239E-10
         2165.,   2.261E-10
         2168.,   2.284E-10
         2170.,   2.307E-10
         2173.,   2.329E-10
         2175.,   2.352E-10
         2177.,   2.374E-10
         2180.,   2.397E-10
         2182.,   2.446E-10
         2185.,   2.496E-10
         2187.,   2.545E-10
         2190.,   2.595E-10
         2193.,   2.644E-10
         2195.,   2.694E-10
         2198.,   2.743E-10
         2200.,   2.793E-10
         2202.,   2.784E-10
         2205.,   2.775E-10
         2208.,   2.766E-10
         2210.,   2.757E-10
         2213.,   2.748E-10
         2215.,   2.739E-10
         2218.,   2.730E-10
         2220.,   2.721E-10
         2222.,   2.722E-10
         2225.,   2.723E-10
         2227.,   2.725E-10
         2230.,   2.726E-10
         2233.,   2.727E-10
         2235.,   2.729E-10
         2237.,   2.730E-10
         2240.,   2.731E-10
         2242.,   2.748E-10
         2245.,   2.764E-10
         2248.,   2.781E-10
         2250.,   2.797E-10
         2253.,   2.814E-10
         2255.,   2.830E-10
         2257.,   2.847E-10
         2260.,   2.863E-10
         2262.,   2.814E-10
         2265.,   2.765E-10
         2267.,   2.715E-10
         2270.,   2.666E-10
         2273.,   2.617E-10
         2275.,   2.568E-10
         2277.,   2.518E-10
         2280.,   2.469E-10
         2282.,   2.508E-10
         2285.,   2.547E-10
         2288.,   2.585E-10
         2290.,   2.624E-10
         2293.,   2.663E-10
         2295.,   2.702E-10
         2298.,   2.741E-10
         2300.,   2.779E-10
         2302.,   2.771E-10
         2305.,   2.762E-10
         2307.,   2.753E-10
         2310.,   2.744E-10
         2313.,   2.735E-10
         2315.,   2.726E-10
         2317.,   2.717E-10
         2320.,   2.709E-10
         2322.,   2.665E-10
         2325.,   2.622E-10
         2327.,   2.578E-10
         2330.,   2.535E-10
         2333.,   2.491E-10
         2335.,   2.448E-10
         2337.,   2.405E-10
         2340.,   2.361E-10
         2342.,   2.313E-10
         2345.,   2.265E-10
         2347.,   2.217E-10
         2350.,   2.169E-10
         2353.,   2.121E-10
         2355.,   2.073E-10
         2357.,   2.024E-10
         2360.,   1.976E-10
         2362.,   1.964E-10
         2365.,   1.952E-10
         2368.,   1.940E-10
         2370.,   1.928E-10
         2373.,   1.916E-10
         2375.,   1.904E-10
         2377.,   1.892E-10
         2380.,   1.880E-10
         2383.,   1.819E-10
         2385.,   1.758E-10
         2387.,   1.696E-10
         2390.,   1.635E-10
         2393.,   1.573E-10
         2395.,   1.512E-10
         2397.,   1.451E-10
         2400.,   1.389E-10
         2403.,   1.465E-10
         2405.,   1.542E-10
         2407.,   1.618E-10
         2410.,   1.695E-10
         2413.,   1.771E-10
         2415.,   1.847E-10
         2417.,   1.924E-10
         2420.,   2.000E-10
         2423.,   2.083E-10
         2425.,   2.165E-10
         2427.,   2.248E-10
         2430.,   2.330E-10
         2433.,   2.412E-10
         2435.,   2.495E-10
         2437.,   2.577E-10
         2440.,   2.660E-10
         2443.,   2.657E-10
         2445.,   2.654E-10
         2448.,   2.651E-10
         2450.,   2.648E-10
         2452.,   2.645E-10
         2455.,   2.642E-10
         2457.,   2.640E-10
         2460.,   2.637E-10
         2463.,   2.629E-10
         2465.,   2.621E-10
         2467.,   2.614E-10
         2470.,   2.606E-10
         2473.,   2.599E-10
         2475.,   2.591E-10
         2477.,   2.583E-10
         2480.,   2.576E-10
         2483.,   2.565E-10
         2485.,   2.555E-10
         2487.,   2.544E-10
         2490.,   2.534E-10
         2493.,   2.523E-10
         2495.,   2.513E-10
         2497.,   2.502E-10
         2500.,   2.492E-10
         2502.,   2.432E-10
         2505.,   2.372E-10
         2507.,   2.312E-10
         2510.,   2.252E-10
         2513.,   2.192E-10
         2515.,   2.132E-10
         2518.,   2.072E-10
         2520.,   2.012E-10
         2522.,   1.967E-10
         2525.,   1.922E-10
         2527.,   1.877E-10
         2530.,   1.833E-10
         2532.,   1.788E-10
         2535.,   1.743E-10
         2538.,   1.698E-10
         2540.,   1.653E-10
         2542.,   1.764E-10
         2545.,   1.874E-10
         2548.,   1.985E-10
         2550.,   2.096E-10
         2552.,   2.207E-10
         2555.,   2.318E-10
         2558.,   2.429E-10
         2560.,   2.540E-10
         2562.,   2.657E-10
         2565.,   2.774E-10
         2567.,   2.891E-10
         2570.,   3.008E-10
         2573.,   3.125E-10
         2575.,   3.242E-10
         2577.,   3.359E-10
         2580.,   3.476E-10
         2582.,   3.497E-10
         2585.,   3.519E-10
         2587.,   3.541E-10
         2590.,   3.562E-10
         2593.,   3.584E-10
         2595.,   3.606E-10
         2598.,   3.627E-10
         2600.,   3.649E-10
         2602.,   3.519E-10
         2605.,   3.388E-10
         2607.,   3.258E-10
         2610.,   3.128E-10
         2612.,   2.998E-10
         2615.,   2.867E-10
         2618.,   2.737E-10
         2620.,   2.607E-10
         2622.,   2.770E-10
         2625.,   2.933E-10
         2627.,   3.096E-10
         2630.,   3.258E-10
         2633.,   3.421E-10
         2635.,   3.584E-10
         2638.,   3.747E-10
         2640.,   3.910E-10
         2642.,   4.301E-10
         2645.,   4.692E-10
         2647.,   5.083E-10
         2650.,   5.474E-10
         2652.,   5.865E-10
         2655.,   6.256E-10
         2657.,   6.647E-10
         2660.,   7.038E-10
         2662.,   7.049E-10
         2665.,   7.059E-10
         2667.,   7.069E-10
         2670.,   7.080E-10
         2673.,   7.090E-10
         2675.,   7.100E-10
         2677.,   7.111E-10
         2680.,   7.121E-10
         2682.,   7.121E-10
         2685.,   7.121E-10
         2687.,   7.121E-10
         2690.,   7.121E-10
         2692.,   7.121E-10
         2695.,   7.121E-10
         2698.,   7.121E-10
         2700.,   7.121E-10
         2702.,   7.121E-10
         2705.,   7.121E-10
         2707.,   7.121E-10
         2710.,   7.121E-10
         2713.,   7.121E-10
         2715.,   7.121E-10
         2718.,   7.121E-10
         2720.,   7.121E-10
         2722.,   7.007E-10
         2725.,   6.893E-10
         2727.,   6.779E-10
         2730.,   6.665E-10
         2732.,   6.551E-10
         2735.,   6.437E-10
         2737.,   6.323E-10
         2740.,   6.209E-10
         2742.,   6.003E-10
         2745.,   5.797E-10
         2747.,   5.591E-10
         2750.,   5.385E-10
         2753.,   5.179E-10
         2755.,   4.974E-10
         2758.,   4.768E-10
         2760.,   4.562E-10
         2762.,   4.768E-10
         2765.,   4.974E-10
         2767.,   5.179E-10
         2770.,   5.385E-10
         2772.,   5.591E-10
         2775.,   5.797E-10
         2778.,   6.003E-10
         2780.,   6.209E-10
         2782.,   5.850E-10
         2785.,   5.493E-10
         2787.,   5.135E-10
         2790.,   4.776E-10
         2793.,   4.419E-10
         2795.,   4.061E-10
         2798.,   3.703E-10
         2800.,   3.345E-10
         2802.,   3.540E-10
         2805.,   3.736E-10
         2807.,   3.932E-10
         2810.,   4.127E-10
         2812.,   4.323E-10
         2815.,   4.518E-10
         2817.,   4.714E-10
         2820.,   4.909E-10
         2823.,   5.306E-10
         2825.,   5.702E-10
         2827.,   6.099E-10
         2830.,   6.495E-10
         2833.,   6.892E-10
         2835.,   7.288E-10
         2838.,   7.684E-10
         2840.,   8.081E-10
         2842.,   7.999E-10
         2845.,   7.917E-10
         2847.,   7.835E-10
         2850.,   7.753E-10
         2852.,   7.671E-10
         2855.,   7.589E-10
         2858.,   7.507E-10
         2860.,   7.425E-10
         2862.,   7.637E-10
         2865.,   7.849E-10
         2867.,   8.062E-10
         2870.,   8.274E-10
         2873.,   8.487E-10
         2875.,   8.699E-10
         2878.,   8.911E-10
         2880.,   9.124E-10
         2883.,   9.460E-10
         2885.,   9.796E-10
         2887.,    1.013E-9
         2890.,    1.047E-9
         2892.,    1.080E-9
         2895.,    1.114E-9
         2898.,    1.148E-9
         2900.,    1.181E-9
         2903.,    1.199E-9
         2905.,    1.217E-9
         2907.,    1.235E-9
         2910.,    1.253E-9
         2913.,    1.271E-9
         2915.,    1.289E-9
         2918.,    1.307E-9
         2920.,    1.325E-9
         2923.,    1.321E-9
         2925.,    1.317E-9
         2927.,    1.314E-9
         2930.,    1.310E-9
         2932.,    1.306E-9
         2935.,    1.302E-9
